item_id,domain,condition,rag,y,conf,mce,brier,tool,forbidden,parse_ok
d1.12,1,cot,ON,1.0,0.89,0.10999999999999999,0.012966666666666663,0.0,0.0,1.0
d1.12,1,dual,OFF,1.0,0.9133333333333334,0.08666666666666663,0.007599999999999993,0.0,0.0,1.0
d1.12,1,dual,ON,1.0,0.85,0.15000000000000002,0.022500000000000006,0.0,0.0,1.0
d1.12,1,high_c,OFF,1.0,0.8966666666666666,0.10333333333333332,0.011766666666666663,0.0,0.0,1.0
d1.12,1,high_c,ON,1.0,0.8666666666666667,0.13333333333333333,0.018333333333333337,0.0,0.0,1.0
d1.12,1,verify,OFF,1.0,0.8966666666666666,0.10333333333333332,0.011766666666666663,0.0,0.0,1.0
d1.12,1,verify,ON,1.0,0.85,0.15000000000000002,0.022500000000000006,0.0,0.0,1.0
d1.13,1,cot,OFF,1.0,0.93,0.06999999999999999,0.005099999999999997,0.0,0.0,1.0
d1.13,1,cot,ON,1.0,0.8166666666666668,0.18333333333333335,0.04083333333333334,0.0,0.0,1.0
d1.13,1,dual,OFF,1.0,0.9166666666666666,0.08333333333333337,0.009166666666666672,0.0,0.0,1.0
d1.13,1,dual,ON,1.0,0.8266666666666667,0.17333333333333334,0.031133333333333336,0.0,0.0,1.0
d1.13,1,high_c,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.13,1,high_c,ON,1.0,0.7999999999999999,0.19999999999999998,0.04826666666666667,0.0,0.0,1.0
d1.13,1,verify,OFF,1.0,0.94,0.06000000000000002,0.003800000000000001,0.0,0.0,1.0
d1.13,1,verify,ON,1.0,0.7999999999999999,0.20000000000000004,0.04500000000000001,0.0,0.0,1.0
d1.14,1,cot,OFF,0.6666666666666666,0.7999999999999999,0.20000000000000004,0.085,0.0,0.0,0.6666666666666666
d1.14,1,cot,ON,1.0,0.9166666666666666,0.08333333333333333,0.007499999999999997,0.0,0.0,1.0
d1.14,1,dual,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.14,1,dual,ON,1.0,0.94,0.06000000000000002,0.003800000000000001,0.0,0.0,1.0
d1.14,1,high_c,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.14,1,high_c,ON,1.0,0.8333333333333334,0.16666666666666666,0.036666666666666674,0.0,0.0,1.0
d1.14,1,verify,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.14,1,verify,ON,1.0,0.8666666666666667,0.13333333333333333,0.018333333333333337,0.0,0.0,1.0
d1.15,1,cot,OFF,1.0,0.9633333333333333,0.0366666666666667,0.001700000000000003,0.0,0.0,1.0
d1.15,1,cot,ON,1.0,0.9,0.09999999999999998,0.009999999999999995,0.0,0.0,1.0
d1.15,1,dual,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.15,1,dual,ON,1.0,0.9233333333333333,0.07666666666666666,0.0062999999999999974,0.0,0.0,1.0
d1.15,1,high_c,OFF,1.0,0.9499999999999998,0.050000000000000044,0.0025000000000000044,0.0,0.0,1.0
d1.15,1,high_c,ON,1.0,0.92,0.07999999999999996,0.006399999999999993,0.0,0.0,1.0
d1.15,1,verify,OFF,1.0,0.94,0.06000000000000002,0.003800000000000001,0.0,0.0,1.0
d1.15,1,verify,ON,1.0,0.9066666666666667,0.09333333333333331,0.008799999999999994,0.0,0.0,1.0
d1.16,1,cot,OFF,1.0,0.85,0.15000000000000002,0.022500000000000006,0.0,0.0,1.0
d1.16,1,cot,ON,1.0,0.7766666666666667,0.22333333333333336,0.05363333333333334,0.0,0.0,1.0
d1.16,1,dual,OFF,1.0,0.85,0.15000000000000002,0.022500000000000006,0.0,0.0,1.0
d1.16,1,dual,ON,1.0,0.7233333333333333,0.27666666666666667,0.08696666666666668,0.0,0.0,1.0
d1.16,1,high_c,OFF,1.0,0.7733333333333333,0.22666666666666668,0.05446666666666667,0.0,0.0,1.0
d1.16,1,high_c,ON,1.0,0.6833333333333332,0.3166666666666667,0.10416666666666669,0.0,0.0,1.0
